core_diameter_mm,shell_thickness_mm,energy_density_wh_per_l,reserve_fraction,round_trip_efficiency,active_duty_cycle,load_power_mw,storage_volume_l,usable_energy_wh,required_energy_wh,margin_wh,status
10,0.5,50,0.2,0.9,0.1,10,0.00017331119472303673,0.006239203010029323,0.0006,0.0056392030100293235,PASS
10,0.5,50,0.2,0.9,0.25,10,0.00017331119472303673,0.006239203010029323,0.0015,0.004739203010029324,PASS
10,0.5,50,0.2,0.9,0.5,10,0.00017331119472303673,0.006239203010029323,0.003,0.0032392030100293233,PASS
10,0.5,50,0.3,0.6,0.1,10,0.00017331119472303673,0.003639535089183771,0.0006,0.0030395350891837714,PASS
10,0.5,50,0.3,0.6,0.25,10,0.00017331119472303673,0.003639535089183771,0.0015,0.002139535089183771,PASS
10,0.5,50,0.3,0.6,0.5,10,0.00017331119472303673,0.003639535089183771,0.003,0.0006395350891837711,PASS
10,0.5,50,0.3,0.75,0.1,10,0.00017331119472303673,0.004549418861479714,0.0006,0.0039494188614797145,PASS
10,0.5,50,0.3,0.75,0.25,10,0.00017331119472303673,0.004549418861479714,0.0015,0.0030494188614797143,PASS
10,0.5,50,0.3,0.75,0.5,10,0.00017331119472303673,0.004549418861479714,0.003,0.0015494188614797143,PASS
10,0.5,50,0.3,0.9,0.1,10,0.00017331119472303673,0.005459302633775657,0.0006,0.004859302633775657,PASS
10,0.5,50,0.3,0.9,0.25,10,0.00017331119472303673,0.005459302633775657,0.0015,0.003959302633775657,PASS
10,0.5,50,0.3,0.9,0.5,10,0.00017331119472303673,0.005459302633775657,0.003,0.002459302633775657,PASS
10,0.5,50,0.4,0.6,0.1,10,0.00017331119472303673,0.0031196015050146612,0.0006,0.0025196015050146614,PASS
10,0.5,50,0.4,0.6,0.25,10,0.00017331119472303673,0.0031196015050146612,0.0015,0.0016196015050146612,PASS
10,0.5,50,0.4,0.6,0.5,10,0.00017331119472303673,0.0031196015050146612,0.003,0.00011960150501466116,PASS
10,0.5,50,0.4,0.75,0.1,10,0.00017331119472303673,0.003899501881268327,0.0006,0.0032995018812683272,PASS
10,0.5,50,0.4,0.75,0.25,10,0.00017331119472303673,0.003899501881268327,0.0015,0.002399501881268327,PASS
10,0.5,50,0.4,0.75,0.5,10,0.00017331119472303673,0.003899501881268327,0.003,0.000899501881268327,PASS
10,0.5,50,0.4,0.9,0.1,10,0.00017331119472303673,0.0046794022575219925,0.0006,0.004079402257521993,PASS
10,0.5,50,0.4,0.9,0.25,10,0.00017331119472303673,0.0046794022575219925,0.0015,0.0031794022575219925,PASS
10,0.5,50,0.4,0.9,0.5,10,0.00017331119472303673,0.0046794022575219925,0.003,0.0016794022575219924,PASS
10,0.5,100,0.1,0.6,0.1,10,0.00017331119472303673,0.009358804515043983,0.0006,0.008758804515043983,PASS
10,0.5,100,0.1,0.6,0.25,10,0.00017331119472303673,0.009358804515043983,0.0015,0.007858804515043984,PASS
10,0.5,100,0.1,0.6,0.5,10,0.00017331119472303673,0.009358804515043983,0.003,0.006358804515043983,PASS
10,0.5,100,0.1,0.75,0.1,10,0.00017331119472303673,0.01169850564380498,0.0006,0.01109850564380498,PASS
10,0.5,100,0.1,0.75,0.25,10,0.00017331119472303673,0.01169850564380498,0.0015,0.01019850564380498,PASS
10,0.5,100,0.1,0.75,0.5,10,0.00017331119472303673,0.01169850564380498,0.003,0.00869850564380498,PASS
10,0.5,100,0.1,0.9,0.1,10,0.00017331119472303673,0.014038206772565976,0.0006,0.013438206772565976,PASS
10,0.5,100,0.1,0.9,0.25,10,0.00017331119472303673,0.014038206772565976,0.0015,0.012538206772565976,PASS
10,0.5,100,0.1,0.9,0.5,10,0.00017331119472303673,0.014038206772565976,0.003,0.011038206772565975,PASS
10,0.5,100,0.2,0.6,0.1,10,0.00017331119472303673,0.008318937346705763,0.0006,0.007718937346705763,PASS
